run_id,episode_id,step_index,treatment_name,n_traders_total,price_path,max_price,offered_price,cap_type,price_index,position_uncertainty,trader_id,action,rationale,confidence,belief_resell,rationale_short,reward,done,terminal_reason,model_id,prompt_template_id,prompt_template_hash,retry_count,fallback_used,parse_success
20260310T184226Z_baseline_paper_faithful/K1_capped,K1_capped_ep000,0,K1_capped,2,"[1, 10]",10.0,1,capped,0,True,Trader_0,buy,"Buying at the lowest price with potential for resell, given early position uncertainty.",0.7,0.5,"Buying at the lowest price with potential for resell, given early position uncertainty.",0.0,False,,asst_h827qMHGj0H3uSBOiyAa0Bvb,agent_sdk,agent_sdk,0,False,True
20260310T184226Z_baseline_paper_faithful/K1_capped,K1_capped_ep000,1,K1_capped,2,"[1, 10]",10.0,10,capped,1,True,Trader_1,no_buy,"The price is at its cap with no intrinsic value, risking losses as reselling probability is low.",0.9,0.1,"The price is at its cap with no intrinsic value, risking losses as reselling probability is low.",0.0,True,decline,asst_DaxZLotNJ90OHKK558pyuRpE,agent_sdk,agent_sdk,0,False,True
20260310T184226Z_baseline_paper_faithful/K1_capped,K1_capped_ep001,0,K1_capped,2,"[1, 10]",10.0,1,capped,0,True,Trader_0,buy,"Buying at the lowest price with potential for resell, given early position uncertainty.",0.7,0.5,"Buying at the lowest price with potential for resell, given early position uncertainty.",0.0,False,,asst_h827qMHGj0H3uSBOiyAa0Bvb,agent_sdk,agent_sdk,0,False,True
20260310T184226Z_baseline_paper_faithful/K1_capped,K1_capped_ep001,1,K1_capped,2,"[1, 10]",10.0,10,capped,1,True,Trader_1,no_buy,"Price is capped and asset lacks intrinsic value, reducing resale chances.",0.9,0.1,"Price is capped and asset lacks intrinsic value, reducing resale chances.",0.0,True,decline,asst_DaxZLotNJ90OHKK558pyuRpE,agent_sdk,agent_sdk,0,False,True
20260310T184226Z_baseline_paper_faithful/K1_capped,K1_capped_ep002,0,K1_capped,2,"[1, 10]",10.0,1,capped,0,True,Trader_0,buy,"Buying at the lowest price with potential for resell, given early position uncertainty.",0.7,0.5,"Buying at the lowest price with potential for resell, given early position uncertainty.",0.0,False,,asst_h827qMHGj0H3uSBOiyAa0Bvb,agent_sdk,agent_sdk,0,False,True
20260310T184226Z_baseline_paper_faithful/K1_capped,K1_capped_ep002,1,K1_capped,2,"[1, 10]",10.0,10,capped,1,True,Trader_1,no_buy,"With the price at its cap and no intrinsic value, it's risky to assume resell is possible.",0.9,0.1,"With the price at its cap and no intrinsic value, it's risky to assume resell is possible.",0.0,True,decline,asst_DaxZLotNJ90OHKK558pyuRpE,agent_sdk,agent_sdk,0,False,True
20260310T184226Z_baseline_paper_faithful/K1_capped,K1_capped_ep003,0,K1_capped,2,"[1, 10]",10.0,1,capped,0,True,Trader_0,buy,"Buying at the lowest price with potential for resell, given early position uncertainty.",0.7,0.5,"Buying at the lowest price with potential for resell, given early position uncertainty.",0.0,False,,asst_h827qMHGj0H3uSBOiyAa0Bvb,agent_sdk,agent_sdk,0,False,True
20260310T184226Z_baseline_paper_faithful/K1_capped,K1_capped_ep003,1,K1_capped,2,"[1, 10]",10.0,10,capped,1,True,Trader_1,no_buy,"The asset is at its capped price and lacks intrinsic value, discouraging purchase.",0.9,0.1,"The asset is at its capped price and lacks intrinsic value, discouraging purchase.",0.0,True,decline,asst_DaxZLotNJ90OHKK558pyuRpE,agent_sdk,agent_sdk,0,False,True
20260310T184226Z_baseline_paper_faithful/K1_capped,K1_capped_ep004,0,K1_capped,2,"[1, 10]",10.0,1,capped,0,True,Trader_0,buy,"Buying at the lowest price with potential for resell, given early position uncertainty.",0.7,0.5,"Buying at the lowest price with potential for resell, given early position uncertainty.",0.0,False,,asst_h827qMHGj0H3uSBOiyAa0Bvb,agent_sdk,agent_sdk,0,False,True
20260310T184226Z_baseline_paper_faithful/K1_capped,K1_capped_ep004,1,K1_capped,2,"[1, 10]",10.0,10,capped,1,True,Trader_1,no_buy,Price cap reached and no intrinsic value discourage purchase.,0.9,0.1,Price cap reached and no intrinsic value discourage purchase.,0.0,True,decline,asst_DaxZLotNJ90OHKK558pyuRpE,agent_sdk,agent_sdk,0,False,True
20260310T184226Z_baseline_paper_faithful/Kinf_uncapped,Kinf_uncapped_ep000,0,Kinf_uncapped,6,"[1, 10, 100, 1000, 10000, 100000]",,1,uncapped,0,True,Trader_0,no_buy,"The price has been increasing exponentially, suggesting a potential bubble. The intrinsic value is 0, and position uncertainty implies risk, so it's safer to opt out.",0.95,0.1,"The price has been increasing exponentially, suggesting a potential bubble. The intrinsic value is 0, and position uncertainty implies risk, so it's safer to opt out.",0.0,True,decline,asst_Mcr2pUZgZss326m8m8FCbAMY,agent_sdk,agent_sdk,0,False,True
